Column 1,Column 2,Column 3,Column 4,Column 5,YEAR
",FORZA ITALIA,7.813.948,""25,16"",22",,,,,1999
",DEMOCRATICI SINISTRA,5.387.729,""17,34"",15",,,,,1999
",AN - P.SEGNI,3.194.661,""10,28"",9",,,,,1999
",LISTA EMMA BONINO,2.625.881,""8,45"",7",,,,,1999
",I DEMOCRATICI,2.402.435,""7,73"",6",,,,,1999
",LEGA NORD,1.391.595,""4,48"",4",,,,,1999
",RIFONDAZIONE COMUNISTA,1.327.327,""4,27"",4",,,,,1999
",PPI (POP),1.316.830,""4,24"",4",,,,,1999
",CENTRO CRIST.DEM.,805.320,""2,59"",2",,,,,1999
",SDI,670.957,""2,16"",2",,,,,1999
",CDU,669.919,""2,16"",2",,,,,1999
",COMUNISTI ITALIANI,622.261,""2,00"",2",,,,,1999
",FEDERAZIONE DEI VERDI,548.987,""1,77"",2",,,,,1999
",U.D.EUR,498.742,""1,61"",1",,,,,1999
",MOV.SOC.TRICOLORE,496.030,""1,60"",1",,,,,1999
",RINNOVAMENTO IT-DINI,353.890,""1,14"",1",,,,,1999
",PARTITO PENSIONATI,233.874,""0,75"",1",,,,,1999
",PRI-LIB-ELDR.,168.620,""0,54"",1",,,,,1999
",SVP,156.005,""0,50"",1",,,,,1999
",LIGA REP.VEN. UNION,117.979,""0,38"",0",,,,,1999
",LS.CITO LG.AZ.MERID.,94.181,""0,30"",0",,,,,1999
",LDR-PS D'AZ-PCONSI,61.185,""0,20"",0",,,,,1999
",SOCIALISTA,42.500,""0,14"",0",,,,,1999
",UV,40.970,""0,13"",0",,,,,1999
",PART.UMANISTA,16.168,""0,05"",0",,,,,1999
",COBAS PER L'AUTORG.,4.432,""0,01"",0",,,,,1999
