Column 1,Column 2,Column 3,Column 4,Column 5,YEAR
",DC,11.451.053,""32,90"",26",,,,,1989
",PCI,9.598.369,""27,58"",22",,,,,1989
",PSI,5.151.929,""14,80"",12",,,,,1989
",MSI-DN,1.918.650,""5,51"",4",,,,,1989
",PLI-PRI-FED,1.532.388,""4,40"",4",,,,,1989
",FED.LISTE VERDI,1.317.119,""3,78"",3",,,,,1989
",PSDI,945.383,""2,72"",2",,,,,1989
",VERDI ARCOBALENO,830.980,""2,39"",2",,,,,1989
",LEGA LOMBARDA-A.NORD,636.242,""1,83"",2",,,,,1989
",DEM.PROL,449.639,""1,29"",1",,,,,1989
",L.ANTIPROIB.DROGA,430.150,""1,24"",1",,,,,1989
",FEDERALISMO,207.739,""0,60"",1",,,,,1989
",PPST,172.383,""0,50"",1",,,,,1989
",PARTITO PENSIONATI,162.293,""0,47"",0",,,,,1989
