Column 1,Column 2,Column 3,Column 4,Column 5,YEAR
",IL POPOLO DELLA LIBERTA',10.797.296,""35,26"",29",,,,,2009
",PARTITO DEMOCRATICO,7.999.476,""26,12"",21",,,,,2009
",LEGA NORD,3.126.181,""10,21"",9",,,,,2009
",DI PIETRO ITALIA DEI VALORI,2.450.643,""8,00"",7",,,,,2009
",UNIONE DI CENTRO,1.995.021,""6,51"",5",,,,,2009
",RIFOND.COM. - SIN.EUROPEA - COM.ITALIANI,1.037.862,""3,39"",",,,,,2009
",SINISTRA E LIBERTA',957.822,""3,13"",",,,,,2009
",LISTA MARCO PANNELLA - EMMA BONINO,743.284,""2,43"",",,,,,2009
",LA DESTRA-MPA- PENSIONATI -ALL.DI CENTRO,681.290,""2,22"",",,,,,2009
",FIAMMA TRICOLORE,246.403,""0,80"",",,,,,2009
",PARTITO COMUNISTA DEI LAVORATORI,166.531,""0,54"",",,,,,2009
",FORZA NUOVA,147.343,""0,48"",",,,,,2009
",SVP,143.509,""0,47"",1",,,,,2009
",LIBERAL DEMOCRATICI - MAIE,71.067,""0,23"",",,,,,2009
",VALLEE D'AOSTE,32.913,""0,11"",",,,,,2009
",AUTONOMIE LIBERTE' DEMOCRATIE,27.199,""0,09"",",,,,,2009
