Column 1,Column 2,Column 3,Column 4,Column 5,YEAR
",UNITI NELL'ULIVO,10.105.836,""31,08"",24",,,,,2004
",FORZA ITALIA,6.806.245,""20,93"",16",,,,,2004
",ALLEANZA NAZIONALE,3.736.606,""11,49"",9",,,,,2004
",RIFONDAZIONE COMUNISTA,1.969.776,""6,06"",5",,,,,2004
",UNIONE DI CENTRO,1.914.726,""5,89"",5",,,,,2004
",LEGA NORD,1.613.506,""4,96"",4",,,,,2004
",FEDERAZIONE DEI VERDI,803.356,""2,47"",2",,,,,2004
",COMUNISTI ITALIANI,787.613,""2,42"",2",,,,,2004
",LISTA EMMA BONINO,731.536,""2,25"",2",,,,,2004
",DIPIETRO OCCHETTO,695.179,""2,14"",2",,,,,2004
",SOCIALISTI UNITI,664.463,""2,04"",2",,,,,2004
",A.P. UDEUR,419.173,""1,29"",1",,,,,2004
",ALTERNATIVA SOCIALE,400.626,""1,23"",1",,,,,2004
",PARTITO PENSIONATI,374.343,""1,15"",1",,,,,2004
",FIAMMA TRICOLORE,237.058,""0,73"",1",,,,,2004
",PRI I LIBERAL SGARBI,233.144,""0,72"",0",,,,,2004
",P.SEGNI SCOGNAMIGLIO,172.556,""0,53"",0",,,,,2004
",ALLEANZA LOMBARDA AUTONOMIA,160.101,""0,49"",0",,,,,2004
",LISTA CONSUMATORI,160.066,""0,49"",0",,,,,2004
",AB.SCORP.VERDI VERDI,158.988,""0,49"",0",,,,,2004
",SVP,146.357,""0,45"",1",,,,,2004
",PAESE NUOVO,78.003,""0,24"",0",,,,,2004
",NO EURO,70.220,""0,22"",0",,,,,2004
",MOV.IDEA SOC. RAUTI,47.171,""0,15"",0",,,,,2004
",UV,29.598,""0,09"",0",,,,,2004
