Column 1,Column 2,Column 3,Column 4,Column 5,YEAR
",FORZA ITALIA,10.089.139,""30,62"",27",,,,,1994
",PDS,6.281.354,""19,06"",16",,,,,1994
",ALLEANZA NAZIONALE,4.108.670,""12,47"",11",,,,,1994
",P.POPOLARE ITALIANO,3.295.337,""10,00"",8",,,,,1994
",LEGA NORD,2.162.586,""6,56"",6",,,,,1994
",RIFONDAZIONE COMUNISTA,2.004.716,""6,08"",5",,,,,1994
",PATTO SEGNI,1.073.095,""3,26"",3",,,,,1994
",FEDERAZIONE DEI VERDI,1.055.797,""3,20"",3",,,,,1994
",PANNELLA-RIFORMATORI,702.717,""2,13"",2",,,,,1994
",PSI-AD,606.538,""1,84"",2",,,,,1994
",LA RETE-MOV.DEM.,366.258,""1,11"",1",,,,,1994
",PRI,242.786,""0,74"",1",,,,,1994
",PSDI,227.439,""0,69"",1",,,,,1994
",LEGA D'AZIONE MERIDIONALE,224.033,""0,68"",",,,,,1994
",SVP,202.668,""0,62"",1",,,,,1994
",UV,126.937,""0,39"",0",,,,,1994
",LEGA ALPINA LUMBARDA,110.458,""0,34"",0",,,,,1994
",LIBERALI,53.983,""0,16"",",,,,,1994
",SOLIDARIETA',15.214,""0,05"",",,,,,1994
